k,inertia,silhouette_score
2,124386.82842219865,0.08509379277578863
3,117062.21449667391,0.07316341941733447
4,111260.05816117757,0.07610665174952905
5,106807.38243479608,0.07356309781777921
6,103603.951142867,0.06900850601927759
7,100554.13220061817,0.07145670781766927
8,97548.95613982453,0.07519448685408
